Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,40.73k km  ,Petrol    ,Manual       ,"12,121/m*" ,6.20L          ,None   ,             40.73 ,              ,2023 ,    12121.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,25.87k km  ,Petrol    ,Manual       ,"11,261/m*" ,5.76L          ,None   ,             25.87 ,              ,2020 ,    11261.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,35.10k km  ,Petrol    ,Manual       ,"7,038/m*"  ,3.60L          ,None   ,             35.1  ,              ,2017 ,     7038.0
Hyundai Xcent          ,BASE 1.1                           ,1.6L km    ,Diesel    ,Manual       ,"7,830/m*"  ,3.52L          ,None   ,              1.6  ,              ,2017 ,     7830.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,36.44k km  ,Petrol    ,Auto         ,"14,833/m*" ,7.59L          ,None   ,             36.44 ,              ,2020 ,    14833.0
Hyundai NEW SANTRO     ,MAGNA CNG                          ,70.06k km  ,Petrol    ,Manual       ,"6,417/m*"  ,3.28L          ,None   ,             70.06 ,              ,2018 ,     6417.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,67.42k km  ,Petrol    ,Manual       ,"13,568/m*" ,6.94L          ,None   ,             67.42 ,              ,2023 ,    13568.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,32.25k km  ,Petrol    ,Auto         ,"14,663/m*" ,8.00L          ,7.50L  ,             32.25 ,         7.5  ,2017 ,    14663.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,37.33k km  ,Petrol    ,Manual       ,"8,426/m*"  ,4.31L          ,None   ,             37.33 ,              ,2018 ,     8426.0
Hyundai NEW SANTRO     ,MAGNA CNG                          ,66.37k km  ,Petrol    ,Manual       ,"6,901/m*"  ,3.53L          ,None   ,             66.37 ,              ,2018 ,     6901.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,65.64k km  ,Petrol    ,Manual       ,"10,753/m*" ,5.50L          ,None   ,             65.64 ,              ,2021 ,    10753.0
Hyundai Xcent          ,S 1.2                              ,1.0L km    ,Petrol    ,Manual       ,"7,474/m*"  ,3.36L          ,None   ,              1.0  ,              ,2017 ,     7474.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,73.70k km  ,Petrol    ,Manual       ,"10,362/m*" ,5.30L          ,None   ,             73.7  ,              ,2021 ,    10362.0
Hyundai Verna          ,SX 1.5 l MPI                       ,6.97k km   ,Petrol    ,Manual       ,"20,937/m*" ,11.00L         ,None   ,              6.97 ,              ,2024 ,    20937.0
Hyundai Creta N Line   ,N8 1.5 Turbo MT                    ,14.5L km   ,Petrol    ,Manual       ,"30,439/m*" ,15.00L         ,14.00L ,             14.5  ,        14.0  ,2024 ,    30439.0
Hyundai Creta          ,SX 1.6 Petrol                      ,68.19k km  ,Petrol    ,Manual       ,"12,160/m*" ,6.22L          ,None   ,             68.19 ,              ,2016 ,    12160.0
Hyundai Creta          ,SX 1.6 DIESEL                      ,1.1L km    ,Diesel    ,Manual       ,"18,671/m*" ,7.09L          ,None   ,              1.1  ,              ,2015 ,    18671.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT              ,43.77k km  ,Petrol    ,Manual       ,"8,798/m*"  ,4.50L          ,None   ,             43.77 ,              ,2020 ,     8798.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,11.28k km  ,Petrol    ,Auto         ,"15,646/m*" ,8.22L          ,None   ,             11.28 ,              ,2019 ,    15646.0
Hyundai NEW SANTRO     ,SPORTZ CNG                         ,67.92k km  ,Petrol    ,Manual       ,"7,214/m*"  ,3.69L          ,None   ,             67.92 ,              ,2019 ,     7214.0
Hyundai NEW I20        ,ASTA 1.2 AT                        ,34.23k km  ,Petrol    ,Auto         ,"15,347/m*" ,7.85L          ,None   ,             34.23 ,              ,2021 ,    15347.0
Hyundai NEW SANTRO     ,SPORTZ CNG                         ,67.13k km  ,Petrol    ,Manual       ,"7,038/m*"  ,3.60L          ,None   ,             67.13 ,              ,2019 ,     7038.0
Hyundai Verna          ,SX (O)1.5 MPi                      ,39.49k km  ,Petrol    ,Manual       ,"16,331/m*" ,8.58L          ,None   ,             39.49 ,              ,2022 ,    16331.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,1.0L km    ,Petrol    ,Manual       ,"12,234/m*" ,5.50L          ,None   ,              1.0  ,              ,2015 ,    12234.0
Hyundai Xcent          ,S 1.2                              ,67.44k km  ,Petrol    ,Manual       ,"6,588/m*"  ,3.37L          ,None   ,             67.44 ,              ,2017 ,     6588.0
Hyundai VENUE          ,SX 1.5 CRDI                        ,67.90k km  ,Diesel    ,Manual       ,"18,425/m*" ,9.68L          ,None   ,             67.9  ,              ,2022 ,    18425.0
Hyundai Xcent          ,S AT 1.2                           ,59.56k km  ,Petrol    ,Auto         ,"7,449/m*"  ,3.81L          ,None   ,             59.56 ,              ,2017 ,     7449.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,87.46k km  ,Diesel    ,Auto         ,"19,750/m*" ,7.50L          ,None   ,             87.46 ,              ,2015 ,    19750.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,33.36k km  ,Petrol    ,Manual       ,"11,945/m*" ,6.11L          ,None   ,             33.36 ,              ,2022 ,    11945.0
Hyundai New Elantra    ,1.8 SX MT VTVT                     ,1.6L km    ,Petrol    ,Manual       ,"10,097/m*" ,3.04L          ,None   ,              1.6  ,              ,2013 ,    10097.0
Hyundai AURA           ,SX 1.2 CNG                         ,31.12k km  ,Petrol    ,Manual       ,"14,819/m*" ,7.58L          ,None   ,             31.12 ,              ,2023 ,    14819.0
Hyundai Creta          ,SX AT 1.6 PETROL                   ,1.1L km    ,Petrol    ,Auto         ,"20,655/m*" ,9.50L          ,None   ,              1.1  ,              ,2019 ,    20655.0
Hyundai Creta          ,S PLUS 1.4 DIESEL                  ,82.87k km  ,Diesel    ,Manual       ,"15,475/m*" ,8.13L          ,None   ,             82.87 ,              ,2018 ,    15475.0
Hyundai Creta          ,SX (O) IVT 1.5 PETROL              ,60.82k km  ,Petrol    ,Auto         ,"29,103/m*" ,15.29L         ,None   ,             60.82 ,              ,2021 ,    29103.0
Hyundai Creta          ,S 1.6 PETROL                       ,48.65k km  ,Petrol    ,Manual       ,"12,257/m*" ,5.75L          ,5.51L  ,             48.65 ,         5.51 ,2015 ,    12257.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,29.23k km  ,Petrol    ,Auto         ,"15,703/m*" ,8.25L          ,None   ,             29.23 ,              ,2017 ,    15703.0
Hyundai VENUE          ,SX (O) 1.5 CRDI                    ,1.0L km    ,Diesel    ,Manual       ,"19,481/m*" ,8.96L          ,None   ,              1.0  ,              ,2019 ,    19481.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,1.4L km    ,Diesel    ,Auto         ,"15,571/m*" ,7.00L          ,None   ,              1.4  ,              ,2016 ,    15571.0
Hyundai VENUE          ,S 1.2                              ,52.02k km  ,Petrol    ,Manual       ,"12,317/m*" ,6.30L          ,None   ,             52.02 ,              ,2020 ,    12317.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,52.31k km  ,Petrol    ,Manual       ,"14,548/m*" ,6.54L          ,None   ,             52.31 ,              ,2015 ,    14548.0
Hyundai ALCAZAR        ,1.5 SIGNATURE (O) AT 6STR          ,1.8L km    ,Diesel    ,Auto         ,"26,901/m*" ,12.37L         ,None   ,              1.8  ,              ,2021 ,    26901.0
Hyundai Creta          ,SX (O) IVT 1.5 PETROL              ,31.34k km  ,Petrol    ,Auto         ,"24,744/m*" ,13.50L         ,13.00L ,             31.34 ,        13.0  ,2021 ,    24744.0
Hyundai Creta          ,SX AT 1.6 PETROL                   ,27.87k km  ,Petrol    ,Auto         ,"16,997/m*" ,8.93L          ,None   ,             27.87 ,              ,2018 ,    16997.0
Hyundai VENUE          ,SX (O) 1.5 CRDI                    ,66.50k km  ,Diesel    ,Manual       ,"13,947/m*" ,7.13L          ,None   ,             66.5  ,              ,2019 ,    13947.0
Hyundai New Elantra    ,1.6 SX AT DIESEL                   ,1.8L km    ,Diesel    ,Auto         ,"14,828/m*" ,3.15L          ,None   ,              1.8  ,              ,2013 ,    14828.0
Hyundai Elite i20      ,ASTA 1.2                           ,38.03k km  ,Petrol    ,Manual       ,"9,834/m*"  ,5.03L          ,None   ,             38.03 ,              ,2018 ,     9834.0
Hyundai Xcent          ,S AT 1.2                           ,46.90k km  ,Petrol    ,Auto         ,"7,703/m*"  ,3.94L          ,None   ,             46.9  ,              ,2018 ,     7703.0
Hyundai NEW I20        ,SPORTZ 1.2 IVT                     ,2.95k km   ,Petrol    ,Auto         ,"17,492/m*" ,9.19L          ,None   ,              2.95 ,              ,2025 ,    17492.0
Hyundai VENUE          ,SX 1.0 (O) TURBO                   ,45.12k km  ,Petrol    ,Manual       ,"13,685/m*" ,7.50L          ,7.00L  ,             45.12 ,         7.0  ,2020 ,    13685.0
Hyundai Elite i20      ,ASTA 1.2  CVT                      ,27.06k km  ,Petrol    ,Auto         ,"10,440/m*" ,5.34L          ,None   ,             27.06 ,              ,2018 ,    10440.0
Hyundai NEW I20        ,ASTA (O) 1.2 MT                    ,59.51k km  ,Petrol    ,Manual       ,"14,408/m*" ,7.37L          ,None   ,             59.51 ,              ,2022 ,    14408.0
Hyundai New Elantra    ,1.8 S VTVT                         ,34.20k km  ,Petrol    ,Manual       ,"21,889/m*" ,4.65L          ,None   ,             34.2  ,              ,2012 ,    21889.0
Hyundai Santa Fe       ,4 WD AT                            ,1.3L km    ,Diesel    ,Auto         ,"16,574/m*" ,4.99L          ,None   ,              1.3  ,              ,2014 ,    16574.0
Hyundai Verna          ,SX 1.5 l MPI                       ,18.04k km  ,Petrol    ,Manual       ,"20,462/m*" ,10.75L         ,None   ,             18.04 ,              ,2023 ,    20462.0
Hyundai NEW I20        ,SPORTZ 1.2 IVT                     ,15.18k km  ,Petrol    ,Auto         ,"16,160/m*" ,8.49L          ,None   ,             15.18 ,              ,2024 ,    16160.0
Hyundai Creta          ,SX AT 1.6 PETROL                   ,46.49k km  ,Petrol    ,Auto         ,"16,845/m*" ,8.85L          ,None   ,             46.49 ,              ,2019 ,    16845.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,46.98k km  ,Petrol    ,Auto         ,"16,103/m*" ,8.46L          ,None   ,             46.98 ,              ,2021 ,    16103.0
Hyundai New Elantra    ,1.6 SX MT DIESEL                   ,1.3L km    ,Diesel    ,Manual       ,"18,170/m*" ,3.86L          ,None   ,              1.3  ,              ,2013 ,    18170.0
Hyundai New Elantra    ,1.6 CRDI                           ,1.0L km    ,Diesel    ,Manual       ,"33,141/m*" ,3.73L          ,None   ,              1.0  ,              ,2012 ,    33141.0
Hyundai NEW I20        ,SPORTZ 1.2 AT                      ,20.00k km  ,Petrol    ,Auto         ,"14,057/m*" ,7.19L          ,None   ,             20.0  ,              ,2021 ,    14057.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,34.24k km  ,Petrol    ,Manual       ,"15,132/m*" ,7.74L          ,None   ,             34.24 ,              ,2017 ,    15132.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,34.39k km  ,Petrol    ,Auto         ,"15,265/m*" ,8.02L          ,None   ,             34.39 ,              ,2020 ,    15265.0
Hyundai VENUE          ,SX PLUS 1.0 TURBO DCT              ,63.04k km  ,Petrol    ,Auto         ,"14,956/m*" ,7.65L          ,None   ,             63.04 ,              ,2020 ,    14956.0
Hyundai Creta          ,SX AT 1.6 PETROL                   ,83.47k km  ,Petrol    ,Auto         ,"17,892/m*" ,9.40L          ,None   ,             83.47 ,              ,2019 ,    17892.0
Hyundai Verna          ,SX(O) 1.5 MPI IVT                  ,3.12k km   ,Petrol    ,Auto         ,"26,648/m*" ,14.00L         ,None   ,              3.12 ,              ,2023 ,    26648.0
Hyundai Creta          ,SX (O) AT 1.5 DIESEL               ,41.83k km  ,Diesel    ,Auto         ,"30,455/m*" ,16.00L         ,None   ,             41.83 ,              ,2022 ,    30455.0
Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,51.64k km  ,Petrol    ,Auto         ,"16,617/m*" ,8.73L          ,None   ,             51.64 ,              ,2022 ,    16617.0
Hyundai Creta          ,S PLUS 1.4 TURBO DCT               ,34.42k km  ,Petrol    ,Auto         ,"24,744/m*" ,13.00L         ,None   ,             34.42 ,              ,2022 ,    24744.0
Hyundai EXTER          ,SX 1.2 MT Hy-CNG Duo               ,13.52k km  ,Petrol    ,Manual       ,"16,940/m*" ,8.90L          ,None   ,             13.52 ,              ,2024 ,    16940.0
Hyundai New Elantra    ,2.0 SX(O) AT PETROL                ,1.1L km    ,Petrol    ,Auto         ,"17,195/m*" ,7.73L          ,None   ,              1.1  ,              ,2017 ,    17195.0
Hyundai ALCAZAR        ,1.5 SIGNATURE (O) AT 6STR          ,37.33k km  ,Diesel    ,Auto         ,"31,635/m*" ,16.62L         ,None   ,             37.33 ,              ,2021 ,    31635.0
Hyundai Verna          ,SX (O) 1.5 VTVT IVT                ,9.07k km   ,Petrol    ,Auto         ,"30,455/m*" ,16.00L         ,None   ,              9.07 ,              ,2023 ,    30455.0
Hyundai EXTER          ,SX 1.2 CNG MT                      ,8.00k km   ,Petrol    ,Manual       ,"15,246/m*" ,8.01L          ,None   ,              8.0  ,              ,2024 ,    15246.0
Hyundai Verna          ,1.6 VTVT SX + AT                   ,14.59k km  ,Petrol    ,Auto         ,"15,551/m*" ,8.17L          ,None   ,             14.59 ,              ,2020 ,    15551.0
Hyundai Verna          ,1.5 TURBO GDI MT SX                ,18.30k km  ,Petrol    ,Manual       ,"22,841/m*" ,12.00L         ,None   ,             18.3  ,              ,2023 ,    22841.0
Hyundai NEW I20 N LINE ,N8 1.0 TURBO GDI IMT               ,38.90k km  ,Petrol    ,Manual       ,"13,196/m*" ,7.00L          ,6.75L  ,             38.9  ,         6.75 ,2022 ,    13196.0
Hyundai i20 Active     ,1.2 SX                             ,17.56k km  ,Petrol    ,Manual       ,"12,414/m*" ,6.35L          ,None   ,             17.56 ,              ,2018 ,    12414.0
Hyundai Santa Fe       ,4 WD AT                            ,95.59k km  ,Diesel    ,Auto         ,"25,442/m*" ,7.66L          ,None   ,             95.59 ,              ,2014 ,    25442.0
Hyundai XCENT PRIME    ,T  VTVT PLUS  CNG                  ,1.6L km    ,Petrol    ,Manual       ,"8,809/m*"  ,3.96L          ,None   ,              1.6  ,              ,2019 ,     8809.0
Hyundai i10            ,MAGNA 1.2                          ,39.60k km  ,Petrol    ,Manual       ,"8,863/m*"  ,1.00L          ,None   ,             39.6  ,              ,2011 ,     8863.0
Hyundai i20            ,MAGNA (O) 1.4 CRDI                 ,81.47k km  ,Diesel    ,Manual       ,"10,544/m*" ,2.24L          ,None   ,             81.47 ,              ,2013 ,    10544.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,1.3L km    ,Diesel    ,Manual       ,"15,016/m*" ,3.19L          ,None   ,              1.3  ,              ,2013 ,    15016.0
Hyundai Xcent          ,S (O) 1.2                          ,94.60k km  ,Petrol    ,Manual       ,"7,373/m*"  ,2.80L          ,None   ,             94.6  ,              ,2014 ,     7373.0
Hyundai i10            ,MAGNA 1.2                          ,94.31k km  ,Petrol    ,Manual       ,"7,061/m*"  ,1.50L          ,None   ,             94.31 ,              ,2012 ,     7061.0
Hyundai VENUE          ,S(O) 1.2                           ,4.97k km   ,Petrol    ,Manual       ,"17,549/m*" ,9.22L          ,None   ,              4.97 ,              ,2023 ,    17549.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT S O AT            ,75.03k km  ,Petrol    ,Auto         ,"8,586/m*"  ,3.86L          ,None   ,             75.03 ,              ,2015 ,     8586.0
Hyundai VENUE N LINE   ,N6 1.0 TURBO DCT                   ,15.81k km  ,Petrol    ,Auto         ,"22,175/m*" ,11.65L         ,None   ,             15.81 ,              ,2023 ,    22175.0
Hyundai Elite i20      ,MAGNA 1.4 CRDI                     ,61.36k km  ,Diesel    ,Manual       ,"11,192/m*" ,4.25L          ,None   ,             61.36 ,              ,2015 ,    11192.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,72.90k km  ,Petrol    ,Manual       ,"7,820/m*"  ,4.00L          ,None   ,             72.9  ,              ,2016 ,     7820.0
Hyundai Creta          ,SX AT 1.6 PETROL                   ,44.62k km  ,Petrol    ,Auto         ,"15,551/m*" ,8.17L          ,None   ,             44.62 ,              ,2019 ,    15551.0
Hyundai i10            ,SPORTZ 1.2                         ,53.84k km  ,Petrol    ,Manual       ,"11,550/m*" ,1.30L          ,None   ,             53.84 ,              ,2011 ,    11550.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,1.3L km    ,Petrol    ,Manual       ,"15,349/m*" ,6.90L          ,None   ,              1.3  ,              ,2015 ,    15349.0
Hyundai Eon            ,D-LITE+                            ,7.28k km   ,Petrol    ,Manual       ,"3,739/m*"  ,1.42L          ,None   ,              7.28 ,              ,2014 ,     3739.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,2.0L km    ,Diesel    ,Auto         ,"16,861/m*" ,7.58L          ,None   ,              2.0  ,              ,2016 ,    16861.0
Hyundai Creta          ,SX 1.6 PETROL                      ,43.66k km  ,Petrol    ,Manual       ,"15,362/m*" ,7.86L          ,None   ,             43.66 ,              ,2019 ,    15362.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,31.81k km  ,Petrol    ,Manual       ,"12,219/m*" ,6.25L          ,None   ,             31.81 ,              ,2016 ,    12219.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,40.41k km  ,Petrol    ,Manual       ,"9,217/m*"  ,3.50L          ,None   ,             40.41 ,              ,2014 ,     9217.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX AT             ,96.90k km  ,Petrol    ,Auto         ,"11,245/m*" ,4.27L          ,None   ,             96.9  ,              ,2014 ,    11245.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,63.45k km  ,Petrol    ,Auto         ,"14,213/m*" ,7.27L          ,None   ,             63.45 ,              ,2017 ,    14213.0
Hyundai i20            ,ASTA 1.2                           ,44.90k km  ,Petrol    ,Manual       ,"8,743/m*"  ,3.85L          ,3.32L  ,             44.9  ,         3.32 ,2014 ,     8743.0
Hyundai Verna          ,FLUIDIC 1.4 VTVT                   ,64.70k km  ,Petrol    ,Manual       ,"12,945/m*" ,3.03L          ,2.75L  ,             64.7  ,         2.75 ,2012 ,    12945.0
Hyundai i10            ,MAGNA 1.2                          ,55.42k km  ,Petrol    ,Manual       ,"5,480/m*"  ,2.10L          ,1.65L  ,             55.42 ,         1.65 ,2013 ,     5480.0
Hyundai NEW I20 N LINE ,N6 1.0 TURBO GDI IMT               ,28.61k km  ,Petrol    ,Manual       ,"14,198/m*" ,9.04L          ,7.26L  ,             28.61 ,         7.26 ,2022 ,    14198.0
Hyundai Creta          ,S 1.4 DIESEL                       ,81.38k km  ,Diesel    ,Manual       ,"15,838/m*" ,9.09L          ,8.32L  ,             81.38 ,         8.32 ,2019 ,    15838.0
Hyundai NEW I20        ,ASTA 1.0 GDI TURBO DCT             ,71.36k km  ,Petrol    ,Auto         ,"13,142/m*" ,7.85L          ,6.72L  ,             71.36 ,         6.72 ,2020 ,    13142.0
Hyundai i20            ,ASTA 1.2                           ,71.71k km  ,Petrol    ,Manual       ,"12,474/m*" ,2.65L          ,None   ,             71.71 ,              ,2012 ,    12474.0
Hyundai Grand i10      ,MAGNA AT 1.2 KAPPA VTVT            ,55.95k km  ,Petrol    ,Auto         ,"7,820/m*"  ,4.06L          ,4.00L  ,             55.95 ,         4.0  ,2018 ,     7820.0
Hyundai Xcent          ,S 1.2                              ,36.89k km  ,Petrol    ,Manual       ,"6,673/m*"  ,3.37L          ,3.00L  ,             36.89 ,         3.0  ,2015 ,     6673.0
Hyundai Elite i20      ,ASTA 1.2                           ,40.91k km  ,Petrol    ,Manual       ,"7,674/m*"  ,3.45L          ,None   ,             40.91 ,              ,2015 ,     7674.0
