Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2012 Hyundai i20            ,ASTA 1.4 CRDI                      ,1.5L km    ,Diesel    ,Manual       ,"EMI ₹22,390/m*" ,₹2.52 lakh     ,
2011 Hyundai i20            ,MAGNA (O) 1.2                      ,61.11k km  ,Petrol    ,Manual       ,"EMI ₹14,571/m*" ,₹1.64 lakh     ,
2013 Hyundai i10            ,SPORTZ 1.2 AT                      ,74.28k km  ,Petrol    ,Auto         ,"EMI ₹6,444/m*"  ,₹1.94 lakh     ,
2010 Hyundai i20            ,MAGNA (O) 1.2                      ,23.52k km  ,Petrol    ,Manual       ,₹1.33 lakh       ,₹1.33 lakh     ,
2014 Hyundai i20            ,MAGNA (O) 1.2                      ,31.72k km  ,Petrol    ,Manual       ,"EMI ₹7,110/m*"  ,₹2.70 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.2                         ,48.84k km  ,Petrol    ,Manual       ,₹1.28 lakh       ,₹1.28 lakh     ,
2011 Hyundai Accent         ,GLE                                ,96.08k km  ,Petrol    ,Manual       ,"EMI ₹10,751/m*" ,₹1.21 lakh     ,
2015 Hyundai Elite i20      ,SPORTZ 1.2                         ,42.15k km  ,Petrol    ,Manual       ,"EMI ₹7,296/m*"  ,₹3.28 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.2                         ,82.00k km  ,Petrol    ,Manual       ,₹1.40 lakh       ,₹1.40 lakh     ,
2015 Hyundai Elite i20      ,ASTA 1.2                           ,75.83k km  ,Petrol    ,Manual       ,"EMI ₹8,297/m*"  ,₹3.73 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,58.10k km  ,Petrol    ,Manual       ,"EMI ₹12,380/m*" ,₹2.63 lakh     ,
2018 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,1.2L km    ,Petrol    ,Manual       ,"EMI ₹7,096/m*"  ,₹3.19 lakh     ,
2015 Hyundai i10            ,MAGNA 1.1                          ,62.66k km  ,Petrol    ,Manual       ,"EMI ₹6,073/m*"  ,₹2.73 lakh     ,
2012 Hyundai i10            ,SPORTZ 1.2 AT                      ,65.21k km  ,Petrol    ,Auto         ,"EMI ₹9,179/m*"  ,₹1.95 lakh     ,
2011 Hyundai i10            ,SPORTZ 1.2                         ,46.50k km  ,Petrol    ,Manual       ,"EMI ₹14,394/m*" ,₹1.62 lakh     ,
2014 Hyundai Eon            ,MAGNA +                            ,35.12k km  ,Petrol    ,Manual       ,"EMI ₹4,371/m*"  ,₹1.66 lakh     ,
2013 Hyundai i20            ,SPORTZ 1.2                         ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹7,905/m*"  ,₹2.38 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,71.01k km  ,Petrol    ,Manual       ,₹1.21 lakh       ,₹1.21 lakh     ,
2010 Hyundai Verna          ,TRANSFORM 1.6 VTVT                 ,57.46k km  ,Petrol    ,Manual       ,₹2.27 lakh       ,₹2.27 lakh     ,
2015 Hyundai Xcent          ,S (O) 1.2                          ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹6,117/m*"  ,₹2.85L         ,₹2.75 lakh
2014 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,98.09k km  ,Petrol    ,Manual       ,"EMI ₹7,505/m*"  ,₹2.95L         ,₹2.85 lakh
2013 Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,88.91k km  ,Petrol    ,Manual       ,"EMI ₹7,274/m*"  ,₹2.19 lakh     ,
2011 Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹15,904/m*" ,₹1.79 lakh     ,
2021 Hyundai VENUE          ,SX 1.0 TURBO IMT DUAL TONE SPORT   ,52.12k km  ,Petrol    ,Manual       ,"EMI ₹12,219/m*" ,₹6.40L         ,₹6.25 lakh
2012 Hyundai i10            ,MAGNA 1.2                          ,41.29k km  ,Petrol    ,Manual       ,"EMI ₹6,449/m*"  ,₹1.37 lakh     ,
2019 Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT              ,45.37k km  ,Petrol    ,Manual       ,"EMI ₹8,622/m*"  ,₹4.41 lakh     ,
2011 Hyundai i20            ,MAGNA (O) 1.2                      ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹11,550/m*" ,₹1.30 lakh     ,
2012 Hyundai i10            ,MAGNA 1.2                          ,29.62k km  ,Petrol    ,Manual       ,"EMI ₹6,025/m*"  ,₹1.28 lakh     ,
2018 Hyundai Verna          ,1.6 VTVT SX O                      ,47.86k km  ,Petrol    ,Manual       ,"EMI ₹11,632/m*" ,₹5.95 lakh     ,
2011 Hyundai i20            ,MAGNA 1.2                          ,50.25k km  ,Petrol    ,Manual       ,"EMI ₹13,860/m*" ,₹1.56 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹8,868/m*"  ,₹2.67 lakh     ,
2012 Hyundai i10            ,SPORTZ 1.2                         ,1.6L km    ,Petrol    ,Manual       ,"EMI ₹7,861/m*"  ,₹1.67 lakh     ,
2018 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹7,630/m*"  ,₹3.43 lakh     ,
2010 Hyundai i10            ,MAGNA 1.1                          ,23.00k km  ,Petrol    ,Manual       ,₹0.98 lakh       ,₹0.98 lakh     ,
2011 Hyundai i20            ,SPORTZ 1.4 CRDI                    ,76.15k km  ,Diesel    ,Manual       ,₹1.65 lakh       ,₹1.65 lakh     ,
2014 Hyundai Xcent          ,SX 1.2 (O)                         ,81.88k km  ,Petrol    ,Manual       ,"EMI ₹7,294/m*"  ,₹2.77 lakh     ,
2016 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,83.14k km  ,Petrol    ,Manual       ,"EMI ₹11,730/m*" ,₹6.00 lakh     ,
2010 Hyundai i10            ,MAGNA 1.2                          ,99.85k km  ,Petrol    ,Manual       ,₹0.92 lakh       ,₹0.92 lakh     ,
2010 Hyundai i20            ,ASTA 1.2                           ,98.05k km  ,Petrol    ,Manual       ,₹1.27 lakh       ,₹1.27 lakh     ,
2011 Hyundai Verna          ,FLUIDIC 1.6 VTVT                   ,51.83k km  ,Petrol    ,Manual       ,"EMI ₹19,102/m*" ,₹2.15 lakh     ,
2011 Hyundai i20            ,MAGNA (O) 1.2                      ,30.32k km  ,Petrol    ,Manual       ,"EMI ₹13,772/m*" ,₹1.55 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,4.12k km   ,Petrol    ,Manual       ,₹1.08 lakh       ,₹1.08 lakh     ,
2012 Hyundai i10            ,MAGNA 1.2                          ,56.98k km  ,Petrol    ,Manual       ,"EMI ₹7,049/m*"  ,₹1.50 lakh     ,
2017 Hyundai Grand i10      ,SPORTZ (O) AT 1.2 KAPPA VTVT       ,1.6L km    ,Petrol    ,Auto         ,"EMI ₹6,673/m*"  ,₹3.49L         ,₹3.00 lakh
2016 Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,90.96k km  ,Diesel    ,Auto         ,"EMI ₹19,894/m*" ,₹9.15 lakh     ,
2011 Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,1.4L km    ,Diesel    ,Manual       ,₹2.31 lakh       ,₹2.31 lakh     ,
2014 Hyundai Xcent          ,S 1.2                              ,1.2L km    ,Petrol    ,Manual       ,"EMI ₹8,348/m*"  ,₹3.17 lakh     ,
2014 Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,65.00k km  ,Petrol    ,Auto         ,"EMI ₹7,979/m*"  ,₹3.03 lakh     ,
2016 Hyundai Xcent          ,S 1.2                              ,48.20k km  ,Petrol    ,Manual       ,"EMI ₹6,823/m*"  ,₹3.49 lakh     ,
2011 Hyundai i10            ,ERA 1.1                            ,66.96k km  ,Petrol    ,Manual       ,"EMI ₹10,129/m*" ,₹1.14 lakh     ,
2014 Hyundai i20            ,SPORTZ 1.2                         ,68.70k km  ,Petrol    ,Manual       ,"EMI ₹6,768/m*"  ,₹2.57 lakh     ,
2016 Hyundai i10            ,SPORTZ 1.1                         ,76.53k km  ,Petrol    ,Manual       ,"EMI ₹4,164/m*"  ,₹2.13 lakh     ,
2010 Hyundai i20            ,SPORTZ 1.4 CRDI                    ,95.38k km  ,Diesel    ,Manual       ,₹2.00 lakh       ,₹2.00 lakh     ,
2014 Hyundai Eon            ,ERA +                              ,29.20k km  ,Petrol    ,Manual       ,"EMI ₹5,082/m*"  ,₹1.93 lakh     ,
2012 Hyundai Santro Xing    ,GL PLUS (CNG)                      ,86.86k km  ,Petrol    ,Manual       ,"EMI ₹5,790/m*"  ,₹1.23 lakh     ,
2014 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,29.12k km  ,Petrol    ,Manual       ,"EMI ₹8,954/m*"  ,₹3.40 lakh     ,
2013 Hyundai i20            ,ASTA 1.2                           ,51.01k km  ,Petrol    ,Manual       ,"EMI ₹9,732/m*"  ,₹2.93 lakh     ,
2011 Hyundai i10            ,SPORTZ 1.2 AT                      ,70.83k km  ,Petrol    ,Auto         ,"EMI ₹11,461/m*" ,₹1.29 lakh     ,
2010 Hyundai i10            ,ASTA 1.2 AT SUNROOF                ,63.02k km  ,Petrol    ,Auto         ,₹1.67 lakh       ,₹1.67 lakh     ,
2018 Hyundai Verna          ,1.6 CRDI SX + AT                   ,88.64k km  ,Diesel    ,Auto         ,"EMI ₹15,073/m*" ,₹7.71 lakh     ,
2012 Hyundai i20            ,ASTA 1.4 AT                        ,40.43k km  ,Petrol    ,Auto         ,"EMI ₹12,663/m*" ,₹2.69 lakh     ,
2010 Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,₹0.92 lakh       ,₹0.92 lakh     ,
2014 Hyundai Eon            ,ERA +                              ,17.37k km  ,Petrol    ,Manual       ,"EMI ₹5,767/m*"  ,₹2.19 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,90.69k km  ,Petrol    ,Manual       ,"EMI ₹11,226/m*" ,₹3.38 lakh     ,
2016 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,44.50k km  ,Petrol    ,Manual       ,"EMI ₹12,747/m*" ,₹6.52 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,78.72k km  ,Petrol    ,Manual       ,₹1.18 lakh       ,₹1.18 lakh     ,
2015 Hyundai Xcent          ,SX 1.2 (O)                         ,71.07k km  ,Petrol    ,Manual       ,"EMI ₹8,052/m*"  ,₹3.62 lakh     ,
2013 Hyundai New Elantra    ,1.8 SX MT VTVT                     ,40.59k km  ,Petrol    ,Manual       ,"EMI ₹11,193/m*" ,₹3.37 lakh     ,
2015 Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,79.75k km  ,Petrol    ,Manual       ,"EMI ₹6,451/m*"  ,₹3.00L         ,₹2.90 lakh
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,74.00k km  ,Petrol    ,Manual       ,"EMI ₹9,732/m*"  ,₹2.93 lakh     ,
2015 Hyundai Elite i20      ,SPORTZ 1.2                         ,79.26k km  ,Petrol    ,Manual       ,"EMI ₹7,608/m*"  ,₹3.42 lakh     ,
2016 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹6,874/m*"  ,₹3.09 lakh     ,
2019 Hyundai Elite i20      ,MAGNA PLUS 1.2                     ,35.32k km  ,Petrol    ,Manual       ,"EMI ₹9,775/m*"  ,₹5.24L         ,₹5.00 lakh
2017 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,59.23k km  ,Petrol    ,Manual       ,"EMI ₹15,386/m*" ,₹7.87 lakh     ,
2015 Hyundai Eon            ,ERA +                              ,75.90k km  ,Petrol    ,Manual       ,"EMI ₹5,116/m*"  ,₹2.30 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,86.66k km  ,Petrol    ,Manual       ,₹0.89 lakh       ,₹0.89 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX OPT AT         ,70.30k km  ,Petrol    ,Auto         ,"EMI ₹9,964/m*"  ,₹3.00 lakh     ,
2016 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,82.24k km  ,Petrol    ,Manual       ,"EMI ₹13,685/m*" ,₹7.00 lakh     ,
2015 Hyundai Xcent          ,S (O) 1.2                          ,71.12k km  ,Petrol    ,Manual       ,"EMI ₹6,940/m*"  ,₹3.12 lakh     ,
2016 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,76.23k km  ,Petrol    ,Manual       ,"EMI ₹5,435/m*"  ,₹2.78 lakh     ,
2014 Hyundai Eon            ,SPORTZ                             ,28.24k km  ,Petrol    ,Manual       ,"EMI ₹4,345/m*"  ,₹1.75L         ,₹1.65 lakh
2019 Hyundai NEW SANTRO     ,SPORTZ CNG                         ,36.71k km  ,Petrol    ,Manual       ,"EMI ₹6,354/m*"  ,₹3.60L         ,₹3.25 lakh
2020 Hyundai Creta          ,SX 1.5 PETROL                      ,66.73k km  ,Petrol    ,Manual       ,"EMI ₹17,131/m*" ,₹9.00 lakh     ,
2017 Hyundai Creta          ,E PLUS 1.6 PETROL                  ,46.67k km  ,Petrol    ,Manual       ,"EMI ₹11,632/m*" ,₹6.00L         ,₹5.95 lakh
2014 Hyundai Xcent          ,S 1.2                              ,48.90k km  ,Petrol    ,Manual       ,"EMI ₹7,926/m*"  ,₹3.01 lakh     ,
2016 Hyundai Verna          ,FLUIDIC 4S 1.6 VTVT S              ,43.03k km  ,Petrol    ,Manual       ,"EMI ₹8,798/m*"  ,₹4.50 lakh     ,
2011 Hyundai i10            ,MAGNA 1.2                          ,28.13k km  ,Petrol    ,Manual       ,"EMI ₹11,728/m*" ,₹1.32 lakh     ,
2018 Hyundai Verna          ,1.6 CRDI SX                        ,72.58k km  ,Diesel    ,Manual       ,"EMI ₹14,115/m*" ,₹7.22 lakh     ,
2014 Hyundai Xcent          ,S 1.2                              ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹7,847/m*"  ,₹2.98 lakh     ,
2018 Hyundai NEW SANTRO     ,MAGNA                              ,25.46k km  ,Petrol    ,Manual       ,"EMI ₹6,139/m*"  ,₹3.14 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 EX CRDI AT             ,1.1L km    ,Diesel    ,Auto         ,"EMI ₹16,334/m*" ,₹3.47 lakh     ,
2013 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,54.87k km  ,Petrol    ,Manual       ,"EMI ₹9,200/m*"  ,₹2.77 lakh     ,
2015 Hyundai Xcent          ,SX 1.2                             ,36.03k km  ,Petrol    ,Manual       ,"EMI ₹8,030/m*"  ,₹3.61 lakh     ,
2023 Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,12.78k km  ,Petrol    ,Auto         ,"EMI ₹15,227/m*" ,₹9.00L         ,₹8.00 lakh
2015 Hyundai Xcent          ,S (O) 1.2                          ,75.16k km  ,Petrol    ,Manual       ,"EMI ₹7,496/m*"  ,₹3.37 lakh     ,
2020 Hyundai GRAND I10 NIOS ,SPORTZ AMT 1.2 KAPPA VTVT          ,18.61k km  ,Petrol    ,Auto         ,"EMI ₹11,359/m*" ,₹5.81 lakh     ,
2016 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,79.40k km  ,Petrol    ,Manual       ,"EMI ₹10,753/m*" ,₹5.50 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX AT             ,27.58k km  ,Petrol    ,Auto         ,"EMI ₹10,463/m*" ,₹3.15 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,7.90k km   ,Petrol    ,Manual       ,"EMI ₹11,721/m*" ,₹2.49 lakh     ,
2019 Hyundai Verna          ,1.6 VTVT SX O                      ,58.88k km  ,Petrol    ,Manual       ,"EMI ₹13,685/m*" ,₹7.00 lakh     ,
2010 Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,₹1.39 lakh       ,₹1.39 lakh     ,
2014 Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,52.73k km  ,Petrol    ,Auto         ,"EMI ₹8,769/m*"  ,₹3.33 lakh     ,
2014 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX OPT            ,78.28k km  ,Petrol    ,Manual       ,"EMI ₹9,665/m*"  ,₹3.67 lakh     ,
2014 Hyundai Xcent          ,S 1.1 CRDI                         ,61.48k km  ,Diesel    ,Manual       ,"EMI ₹10,894/m*" ,₹3.28 lakh     ,
2024 Hyundai AURA           ,SX 1.2 CNG                         ,18.62k km  ,Petrol    ,Manual       ,"EMI ₹16,522/m*" ,₹8.68 lakh     ,
2014 Hyundai Elite i20      ,MAGNA 1.2                          ,93.38k km  ,Petrol    ,Manual       ,"EMI ₹7,663/m*"  ,₹2.91 lakh     ,
2015 Hyundai Xcent          ,S (O) 1.2                          ,21.12k km  ,Petrol    ,Manual       ,"EMI ₹8,275/m*"  ,₹3.72 lakh     ,
2015 Hyundai Elite i20      ,ASTA 1.4 CRDI                      ,1.5L km    ,Diesel    ,Manual       ,"EMI ₹11,166/m*" ,₹4.24 lakh     ,
2016 Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,27.39k km  ,Petrol    ,Manual       ,"EMI ₹6,764/m*"  ,₹3.46 lakh     ,
2015 Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,12.11k km  ,Petrol    ,Manual       ,"EMI ₹7,007/m*"  ,₹3.25L         ,₹3.15 lakh
2022 Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,14.90k km  ,Petrol    ,Auto         ,"EMI ₹14,663/m*" ,₹7.50 lakh     ,
2018 Hyundai Verna          ,1.6 VTVT SX O                      ,72.48k km  ,Petrol    ,Manual       ,"EMI ₹11,339/m*" ,₹5.80 lakh     ,
2021 Hyundai AURA           ,S 1.2 CNG                          ,20.61k km  ,Petrol    ,Manual       ,"EMI ₹12,453/m*" ,₹6.37 lakh     ,
2015 Hyundai Xcent          ,S 1.1 CRDI                         ,82.71k km  ,Diesel    ,Manual       ,"EMI ₹9,586/m*"  ,₹3.64 lakh     ,
2014 Hyundai Verna          ,FLUIDIC 1.6 CRDI SX AT             ,78.85k km  ,Diesel    ,Auto         ,"EMI ₹12,954/m*" ,₹3.90 lakh     ,
2015 Hyundai Xcent          ,SX AT 1.2 (O)                      ,3.1L km    ,Petrol    ,Auto         ,"EMI ₹7,118/m*"  ,₹3.20 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,1.1L km    ,Diesel    ,Manual       ,"EMI ₹25,233/m*" ,₹2.84 lakh     ,
2014 Hyundai i20            ,ASTA 1.2                           ,68.81k km  ,Petrol    ,Manual       ,"EMI ₹8,400/m*"  ,₹3.19 lakh     ,
2015 Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,35.79k km  ,Petrol    ,Manual       ,"EMI ₹7,274/m*"  ,₹3.27 lakh     ,
2014 Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,41.05k km  ,Petrol    ,Auto         ,"EMI ₹8,954/m*"  ,₹3.40 lakh     ,
2023 Hyundai VENUE          ,S 1.2                              ,17.45k km  ,Petrol    ,Manual       ,"EMI ₹14,663/m*" ,₹7.50 lakh     ,
2017 Hyundai Elite i20      ,SPORTZ 1.2                         ,67.43k km  ,Petrol    ,Manual       ,"EMI ₹8,739/m*"  ,₹4.47 lakh     ,
2018 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,75.61k km  ,Petrol    ,Manual       ,"EMI ₹13,196/m*" ,₹6.75 lakh     ,
2024 Hyundai VENUE          ,S 1.2                              ,1.51k km   ,Petrol    ,Manual       ,"EMI ₹17,131/m*" ,₹9.00 lakh     ,
2018 Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,49.50k km  ,Petrol    ,Auto         ,"EMI ₹14,174/m*" ,₹7.25 lakh     ,
2015 Hyundai Elite i20      ,ASTA 1.4 CRDI                      ,74.45k km  ,Diesel    ,Manual       ,"EMI ₹11,929/m*" ,₹4.53 lakh     ,
2015 Hyundai i20 Active     ,1.2 S                              ,39.67k km  ,Petrol    ,Manual       ,"EMI ₹12,079/m*" ,₹5.43 lakh     ,
2018 Hyundai Xcent          ,E+                                 ,56.61k km  ,Petrol    ,Manual       ,"EMI ₹7,801/m*"  ,₹3.99 lakh     ,
2015 Hyundai Elite i20      ,SPORTZ 1.2                         ,53.35k km  ,Petrol    ,Manual       ,"EMI ₹8,675/m*"  ,₹3.90 lakh     ,
2016 Hyundai i20 Active     ,1.2 S                              ,73.70k km  ,Petrol    ,Manual       ,"EMI ₹8,309/m*"  ,₹4.25 lakh     ,
2016 Hyundai Xcent          ,SX 1.2                             ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹6,896/m*"  ,₹3.50L         ,₹3.10 lakh
2017 Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,94.62k km  ,Petrol    ,Auto         ,"EMI ₹12,708/m*" ,₹7.00L         ,₹6.50 lakh
2017 Hyundai Elite i20      ,ASTA 1.2 DUAL TONE                 ,58.20k km  ,Petrol    ,Manual       ,"EMI ₹9,091/m*"  ,₹4.65 lakh     ,
2021 Hyundai NEW I20        ,SPORTZ 1.2 AT                      ,18.00k km  ,Petrol    ,Auto         ,"EMI ₹12,962/m*" ,₹6.63 lakh     ,
2024 Hyundai Creta          ,E 1.5 PETROL                       ,5.40k km   ,Petrol    ,Manual       ,"EMI ₹22,403/m*" ,₹11.77 lakh    ,
2021 Hyundai AURA           ,S 1.2 CNG                          ,73.24k km  ,Petrol    ,Manual       ,"EMI ₹11,261/m*" ,₹5.76 lakh     ,
2016 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,11.01k km  ,Petrol    ,Manual       ,"EMI ₹7,058/m*"  ,₹3.61 lakh     ,
2016 Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,1.5L km    ,Diesel    ,Auto         ,"EMI ₹17,894/m*" ,₹8.23 lakh     ,
2016 Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,42.92k km  ,Petrol    ,Auto         ,"EMI ₹16,731/m*" ,₹8.79 lakh     ,
2016 Hyundai Grand i10      ,ASTA (O) AT 1.2 KAPPA VTVT         ,1.0L km    ,Petrol    ,Auto         ,"EMI ₹7,786/m*"  ,₹3.50 lakh     ,
2019 Hyundai Elite i20      ,SPORTZ PLUS 1.2                    ,18.98k km  ,Petrol    ,Manual       ,"EMI ₹11,241/m*" ,₹5.75 lakh     ,
2022 Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,31.76k km  ,Petrol    ,Manual       ,"EMI ₹10,753/m*" ,₹5.91L         ,₹5.50 lakh
2016 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,56.00k km  ,Petrol    ,Manual       ,"EMI ₹5,924/m*"  ,₹3.03 lakh     ,
2019 Hyundai Elite i20      ,MAGNA PLUS 1.2                     ,23.44k km  ,Petrol    ,Manual       ,"EMI ₹9,267/m*"  ,₹4.74 lakh     ,
2019 Hyundai NEW SANTRO     ,SPORTZ CNG                         ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹8,008/m*"  ,₹3.60 lakh     ,
2015 Hyundai Elite i20      ,SPORTZ 1.2                         ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹8,876/m*"  ,₹3.99 lakh     ,
